ID,decimalLatitude,decimalLongitude,species_name,Category,NoInd
41,28.865,101.603,Acer pentaphyllum,ex-situ,7
33,28.8756,101.5714,Acer pentaphyllum,ex-situ,6
29,28.8764,101.5797,Acer pentaphyllum,ex-situ,11
30,28.8769,101.579,Acer pentaphyllum,ex-situ,10
32,28.8776,101.5796,Acer pentaphyllum,ex-situ,7
31,28.8777,101.5788,Acer pentaphyllum,ex-situ,7
25,28.8778,101.577,Acer pentaphyllum,ex-situ,53
43,28.8792,101.5892,Acer pentaphyllum,ex-situ,3
23,28.8837,101.6315,Acer pentaphyllum,ex-situ,8
28,29.4238,101.2839,Acer pentaphyllum,ex-situ,38
35,29.4239,101.2834,Acer pentaphyllum,ex-situ,3
40,29.4262,101.2814,Acer pentaphyllum,ex-situ,43
34,29.427,101.3014,Acer pentaphyllum,ex-situ,5
27,29.484,101.3122,Acer pentaphyllum,ex-situ,1
37,29.8061,101.0903,Acer pentaphyllum,ex-situ,37
39,29.809,101.096,Acer pentaphyllum,ex-situ,67
38,29.8103,101.0938,Acer pentaphyllum,ex-situ,77
42,29.811,101.0947,Acer pentaphyllum,ex-situ,3
26,29.828,101.089,Acer pentaphyllum,ex-situ,21
36,29.8383,101.0952,Acer pentaphyllum,ex-situ,34
24,29.9426,101.6988,Acer pentaphyllum,ex-situ,1
1,28.3424,101.354,Acer pentaphyllum,in_situ,NA
2,28.8646,101.6032,Acer pentaphyllum,in_situ,NA
44,28.865,101.603,Acer pentaphyllum,in_situ,NA
3,28.8756,101.5714,Acer pentaphyllum,in_situ,NA
4,28.8764,101.5797,Acer pentaphyllum,in_situ,NA
5,28.8769,101.579,Acer pentaphyllum,in_situ,NA
6,28.8776,101.5796,Acer pentaphyllum,in_situ,NA
7,28.8777,101.5788,Acer pentaphyllum,in_situ,NA
8,28.8778,101.577,Acer pentaphyllum,in_situ,NA
9,28.8792,101.5892,Acer pentaphyllum,in_situ,NA
45,28.8837,101.6315,Acer pentaphyllum,in_situ,NA
10,29.4173,101.2838,Acer pentaphyllum,in_situ,NA
46,29.4238,101.2839,Acer pentaphyllum,in_situ,NA
11,29.4239,101.2836,Acer pentaphyllum,in_situ,NA
12,29.4239,101.2834,Acer pentaphyllum,in_situ,NA
13,29.4262,101.2814,Acer pentaphyllum,in_situ,NA
14,29.427,101.3014,Acer pentaphyllum,in_situ,NA
15,29.4843,101.3122,Acer pentaphyllum,in_situ,NA
16,29.8061,101.0903,Acer pentaphyllum,in_situ,NA
17,29.8094,101.0961,Acer pentaphyllum,in_situ,NA
18,29.8103,101.0938,Acer pentaphyllum,in_situ,NA
19,29.811,101.0947,Acer pentaphyllum,in_situ,NA
20,29.8167,101.089,Acer pentaphyllum,in_situ,NA
21,29.8276,101.089,Acer pentaphyllum,in_situ,NA
22,29.8383,101.0952,Acer pentaphyllum,in_situ,NA
47,29.9426,101.6988,NA,in_situ,NA
