"","lat","long","species"
"1",49.253795,-123.24615,"pentaphyllum"
"2",49.253198,-123.249125,"griseum"
"3",49.25398,-123.246765,"circinatum"
"4",49.249044,-123.243524,"pentaphyllum"
"10",49.251194,-123.24649,"pentaphyllum"
"14",NA,NA,"circinatum"
"17",49.253447,-123.24494,"circinatum"
"18",49.253238,-123.245399,"circinatum"
"19",49.25374,-123.244324,"circinatum"
"20",49.253592,-123.24404,"circinatum"
"22",49.253681,-123.251419,"pentaphyllum"
"23",49.253971,-123.250213,"pentaphyllum"
"24",49.253164,-123.244866,"circinatum"
"26",49.253886,-123.246411,"griseum"
"27",49.252094,-123.249349,"griseum"
"28",49.253108,-123.247341,"macrophyllum"
"33",49.253039,-123.250798,"macrophyllum"
"38",49.252662,-123.250388,"macrophyllum"
"39",49.252309,-123.249706,"macrophyllum"
"40",49.251778,-123.249186,"macrophyllum"
"68",49.250746,-123.245854,"macrophyllum"
"69",49.250359,-123.246993,"macrophyllum"
"75",49.250721,-123.246064,"macrophyllum"
"76",49.251486,-123.248846,"macrophyllum"
"77",49.250537,-123.245903,"macrophyllum"
"78",49.250096,-123.246609,"macrophyllum"
"86",49.249942,-123.246122,"macrophyllum"
"90",49.250523,-123.245235,"macrophyllum"
"93",49.250669,-123.245521,"macrophyllum"
"102",49.249554,-123.245238,"macrophyllum"
"103",49.249404,-123.24486,"macrophyllum"
"109",49.249679,-123.244329,"macrophyllum"
"114",49.249268,-123.244645,"macrophyllum"
"123",49.249131,-123.244361,"macrophyllum"
"126",49.248917,-123.243936,"macrophyllum"
"132",49.252027,-123.249571,"macrophyllum"
"136",49.25173,-123.24932,"macrophyllum"
"145",49.250835,-123.248057,"macrophyllum"
"154",49.25053,-123.247394,"macrophyllum"
"156",49.250296,-123.246068,"macrophyllum"
"157",49.250481,-123.246045,"macrophyllum"
"159",49.250284,-123.245334,"macrophyllum"
"166",49.250404,-123.245621,"macrophyllum"
"172",49.253748,-123.244007,"circinatum"
"175",49.250164,-123.24575,"macrophyllum"
"177",49.250026,-123.245917,"macrophyllum"
"181",49.249938,-123.245489,"macrophyllum"
"184",49.249793,-123.24522,"macrophyllum"
"187",49.249601,-123.244715,"macrophyllum"
"191",49.250271,-123.246415,"macrophyllum"
"198",49.249515,-123.234415,"circinatum"
"199",49.253937,-123.243977,"circinatum"
"200",49.250265,-123.244851,"macrophyllum"
"202",49.249946,-123.245018,"macrophyllum"
"205",49.249897,-123.244634,"macrophyllum"
"210",49.24995,-123.244291,"macrophyllum"
"211",49.249866,-123.243966,"macrophyllum"
"214",49.249598,-123.244063,"macrophyllum"
"220",49.249467,-123.244459,"macrophyllum"
"221",49.249346,-123.244202,"macrophyllum"
"224",49.249663,-123.243702,"macrophyllum"
"226",49.249508,-123.243407,"macrophyllum"
"227",49.249467,-123.243782,"macrophyllum"
"231",49.249143,-123.243909,"macrophyllum"
"235",49.24935,-123.243191,"macrophyllum"
"237",49.249269,-123.242956,"macrophyllum"
"238",49.248851,-123.243197,"macrophyllum"
"241",49.249075,-123.242656,"macrophyllum"
"245",49.248915,-123.24234,"macrophyllum"
"248",49.24866,-123.242847,"macrophyllum"
"253",49.248584,-123.242485,"macrophyllum"
"257",49.248662,-123.241975,"macrophyllum"
"261",49.248524,-123.241637,"macrophyllum"
"264",49.248474,-123.242261,"macrophyllum"
"273",49.253411,-123.244492,"circinatum"
